ts,plant_id,irradiance_wm2,temp_ambient_c,temp_module_c,power_ac_kw,power_dc_kw,energy_daily_kwh,energy_total_kwh,label_is_fault,fault_type,fault_severity,expected_power_ac_kw
2025-04-19T06:00:00,1,7.01,31.76,31.97,0.5803,0.8134,0.1451,0.1451,0,,0,0.5803
2025-04-19T06:00:00,2,4.75,16.46,16.6,0.0,0.0119,0.0,0.0,0,,0,0.0
2025-04-19T06:00:00,3,4.32,26.15,26.28,0.0,0.0,0.0,0.0,0,,0,0.0
2025-04-19T06:15:00,1,19.02,33.09,33.66,1.6722,2.403,0.5631,0.5631,0,,0,1.6722
2025-04-19T06:15:00,2,50.1,18.99,20.51,2.1253,3.0165,0.5313,0.5313,0,,0,2.1253
2025-04-19T06:15:00,3,35.18,26.03,27.08,2.607,3.7355,0.6518,0.6518,0,,0,2.607
2025-04-19T06:30:00,1,37.22,34.57,35.69,3.4719,5.0021,1.4311,1.4311,0,,0,3.4719
2025-04-19T06:30:00,2,78.6,19.54,21.92,4.5156,4.924,1.6602,1.6602,0,,0,4.5156
2025-04-19T06:30:00,3,73.79,26.08,28.32,7.7356,8.358,2.5857,2.5857,0,,0,7.7356
2025-04-19T06:45:00,1,61.71,34.58,36.45,6.0801,8.7041,2.9511,2.9511,0,,0,6.0801
2025-04-19T06:45:00,2,109.96,19.12,22.45,6.5924,7.1183,3.3083,3.3083,0,,0,6.5924
2025-04-19T06:45:00,3,114.01,25.89,29.35,12.4961,13.4336,5.7097,5.7097,0,,0,12.4961
2025-04-19T07:00:00,1,91.78,34.69,37.44,12.4308,13.3495,6.0588,6.0588,0,,0,12.4308
2025-04-19T07:00:00,2,158.74,20.76,25.58,9.9638,10.5118,5.7993,5.7993,0,,0,9.9638
2025-04-19T07:00:00,3,155.19,28.41,33.11,17.6675,18.6032,10.1266,10.1266,0,,0,17.6675
2025-04-19T07:15:00,1,125.42,35.78,39.52,17.5672,18.714,10.4506,10.4506,0,,0,17.5672
2025-04-19T07:15:00,2,193.33,18.95,24.82,12.6371,12.9929,8.9585,8.9585,0,,0,12.6371
2025-04-19T07:15:00,3,204.19,25.71,31.9,29.1337,29.5345,17.41,17.41,0,,0,29.1337
2025-04-19T07:30:00,1,161.57,36.3,41.13,23.1659,24.5974,16.2421,16.2421,0,,0,23.1659
2025-04-19T07:30:00,2,231.72,21.11,28.14,17.6376,18.2539,13.3679,13.3679,0,,0,17.6376
2025-04-19T07:30:00,3,241.74,29.91,37.24,33.0756,34.2038,25.6789,25.6789,0,,0,33.0756
2025-04-19T07:45:00,1,205.81,36.66,42.86,36.3095,37.2327,25.3195,25.3195,0,,0,36.3095
2025-04-19T07:45:00,2,262.09,21.72,29.66,19.6815,20.5339,18.2883,18.2883,0,,0,19.6815
2025-04-19T07:45:00,3,296.72,29.52,38.51,40.8715,41.852,35.8968,35.8968,0,,0,40.8715
2025-04-19T08:00:00,1,249.02,35.92,43.47,43.8178,44.8341,36.2739,36.2739,0,,0,43.8178
2025-04-19T08:00:00,2,295.23,22.42,31.37,22.0225,22.9492,23.7939,23.7939,0,,0,22.0225
2025-04-19T08:00:00,3,233.97,30.8,37.89,32.1405,33.1844,43.9319,43.9319,0,,0,32.1405
2025-04-19T08:15:00,1,294.61,36.93,45.86,50.9385,52.7949,49.0086,49.0086,0,,0,50.9385
2025-04-19T08:15:00,2,316.76,22.9,32.5,23.9483,24.5038,29.781,29.781,0,,0,23.9483
2025-04-19T08:15:00,3,294.51,29.21,38.14,40.1331,41.5434,53.9652,53.9652,0,,0,40.1331
2025-04-19T08:30:00,1,434.07,35.85,48.99,74.0886,76.4861,67.5307,67.5307,0,,0,74.0886
2025-04-19T08:30:00,2,334.8,22.16,32.25,24.9919,26.1077,36.029,36.029,0,,0,24.9919
2025-04-19T08:30:00,3,341.75,31.2,41.56,45.7784,47.7671,65.4098,65.4098,0,,0,45.7784
2025-04-19T08:45:00,1,472.25,38.45,52.77,79.6129,82.2718,87.4339,87.4339,0,,0,79.6129
2025-04-19T08:45:00,2,372.38,23.53,34.77,27.7539,28.4486,42.9675,42.9675,0,,0,27.7539
2025-04-19T08:45:00,3,405.45,31.86,44.15,54.0167,55.6951,78.914,78.914,0,,0,54.0167
2025-04-19T09:00:00,1,515.22,37.61,53.23,85.3538,89.3448,108.7724,108.7724,0,,0,85.3538
2025-04-19T09:00:00,2,390.0,23.93,35.76,28.7125,29.7101,50.1456,50.1456,0,,0,28.7125
2025-04-19T09:00:00,3,463.91,31.75,45.81,60.9992,63.159,94.1638,94.1638,0,,0,60.9992
2025-04-19T09:15:00,1,544.26,37.31,53.81,91.5452,94.0756,131.6587,131.6587,0,,0,91.5452
2025-04-19T09:15:00,2,423.26,23.08,35.91,31.1919,32.4617,57.9436,57.9436,0,,0,31.1919
